modelo,rodada_validacao,train_acc,val_acc,gap,min_recall_fold,macro_f1_fold,weighted_f1_fold
rf_regularizado_depth6_leaf10,1,0.9449239621866009,0.4158878504672897,0.5290361117193112,0.0,0.7606177606177607,0.32116696135387723
rf_regularizado_depth6_leaf10,2,0.9407865665046399,1.0,-0.059213433495360124,1.0,1.0,1.0
rf_regularizado_depth6_leaf10,3,0.9403854773644106,1.0,-0.05961452263558942,1.0,1.0,1.0
rf_regularizado_depth6_leaf10,4,0.9419973833406018,1.0,-0.05800261665939821,1.0,1.0,1.0
rf_regularizado_depth6_leaf10,5,1.0,0.6452119309262166,0.35478806907378335,0.0,0.4307324255676302,0.5710516827069697
rf_regularizado_depth8_leaf5,1,0.9490341142622277,0.4158878504672897,0.533146263794938,0.0,0.7606177606177607,0.32116696135387723
rf_regularizado_depth8_leaf5,2,0.9456473707467963,1.0,-0.05435262925320372,1.0,1.0,1.0
rf_regularizado_depth8_leaf5,3,0.9502465262214254,1.0,-0.04975347377857464,1.0,1.0,1.0
rf_regularizado_depth8_leaf5,4,0.9467945922372438,1.0,-0.053205407762756174,1.0,1.0,1.0
rf_regularizado_depth8_leaf5,5,1.0,0.6452119309262166,0.35478806907378335,0.0,0.4307324255676302,0.5710516827069697
rf_regularizado_depth10_leaf3,1,0.9580764488286067,0.4158878504672897,0.5421885983613169,0.0,0.7606177606177607,0.32116696135387723
rf_regularizado_depth10_leaf3,2,0.9558108705258507,1.0,-0.044189129474149325,1.0,1.0,1.0
rf_regularizado_depth10_leaf3,3,0.9596593455849395,1.0,-0.04034065441506052,1.0,1.0,1.0
rf_regularizado_depth10_leaf3,4,0.9572612298299171,1.0,-0.042738770170082874,1.0,1.0,1.0
rf_regularizado_depth10_leaf3,5,1.0,0.6452119309262166,0.35478806907378335,0.0,0.4307324255676302,0.5710516827069697
rf_regularizado_depth12_leaf3,1,0.966707768187423,0.4158878504672897,0.5508199177201333,0.0,0.7606177606177607,0.32116696135387723
rf_regularizado_depth12_leaf3,2,0.965090587715422,1.0,-0.034909412284578,1.0,1.0,1.0
rf_regularizado_depth12_leaf3,3,0.9690721649484536,1.0,-0.030927835051546393,1.0,1.0,1.0
rf_regularizado_depth12_leaf3,4,0.96860008722198,1.0,-0.03139991277802001,1.0,1.0,1.0
rf_regularizado_depth12_leaf3,5,1.0,0.6452119309262166,0.35478806907378335,0.0,0.4307324255676302,0.5710516827069697
extratrees_regularizado_depth10_leaf3,1,0.9469790382244143,0.4158878504672897,0.5310911877571246,0.0,0.7606177606177607,0.32116696135387723
extratrees_regularizado_depth10_leaf3,2,0.9443216968625718,1.0,-0.055678303137428165,1.0,1.0,1.0
extratrees_regularizado_depth10_leaf3,3,0.9439713133124159,1.0,-0.056028686687584095,1.0,1.0,1.0
extratrees_regularizado_depth10_leaf3,4,0.9437418229393807,1.0,-0.05625817706061931,1.0,1.0,1.0
extratrees_regularizado_depth10_leaf3,5,1.0,0.6452119309262166,0.35478806907378335,0.0,0.4307324255676302,0.5710516827069697
